MAIN_ORG,ORGS,text,sentiments,score,month
0,’AUTORITÉ MAROCAINE DU MARCHÉ DES CAPITAUX,"['la Blockchain', 'nitial Coin Offering ', 'WFC', 'Conférence du forum mondial des dépositaires centraux des titres', 'Cloud', 'Maroclear', 'ICO']","L’Autorité marocaine du marché des capitaux (AMMC) planche sur un projet de digitalisation des infrastructures des marchés de capitaux. Des études sont en cours pour intégrer sur le marché marocain de nouvelles technologies comme la Blockchain, l’Initial Coin Offering (ICO), l’intelligence artificielle, l’internet des objets… Rappelons que l’ICO est une méthode de levée de fonds fonctionnant via l’émission d’actifs numériques échangeables contre des cryptomonnaies. Ces études permettront de répondre à plusieurs questions notamment si le marché marocain est prêt à adopter ces nouvelles technologies, comment les implémenter, comment adapter les réglementations en cours ou en créer de nouvelles. Un benchmark est également prévu afin de s’inspirer des success-stories d’autres pays. 
Si l’AMMC est aujourd’hui convaincue de la nécessité de franchir le pas, c’est que la configuration actuelle des marchés des capitaux est en pleine mutation. «Les dépositaires centraux font face aujourd’hui à plusieurs défis d’ordre réglementaire mais surtout technologique. Il s’agit de savoir comment innover tout en sécurisant au mieux nos opérations», a déclaré Byungrhae Lee, président du WFC, lors de la 5e édition de la Conférence du forum mondial des dépositaires centraux des titres, organisée du 8 au 12 avril à Marrakech (www.lematin.ma). En effet, la Blockchain, à titre d’exemple, permet entre autres de réduire considérablement le temps de règlements des transactions, mais augmente en même temps le risque de pertes de données à cause de son exposition aux crimes et autres attaques cybernétiques. «Un changement s’opère actuellement au niveau des infrastructures et systèmes des marchés des capitaux. Il faut être entreprenant et réactif tout en restant vigilant vis-à-vis des nouvelles technologies. Par exemple, le Cloud nous offre plusieurs avantages, mais s’avère un véritable casse-tête côté sécurité. En fait, vous confiez vos informations à un fournisseur sur qui vous n’avez pas un pouvoir direct», prévient, pour sa part, Ridouane Azagrouze, directeur des systèmes d’information de Maroclear, organisatrice de l’événement. 
",POSITIVE,1.0,avril
1,INFFLUX,"['Advansys', 'BEXT', 'Salon international du transport et de la logistique pour l’Afrique', 'Méditerranée', 'ogismed)', 'BEXT', 'Supply Chain', 'BEXT WS', 'dvansys Group,']","L’éditeur français Infflux groupe CFD, s’appuie son nouveau partenaire marocain Advansys Group afin de mettre sur le marché une solution logicielle adaptée aux besoins des professionnels marocains. Il s’agit de toute une gamme progicielle de pilotage de la chaîne logistique opérationnelle, intitulée BEXT. Celle-ci sera présentée, sous sa dernière version, par les deux partenaires, dans leur stand commun, durant la huitième édition du Salon international du transport et de la logistique pour l’Afrique et la Méditerranée (Logismed), prévu du 9 au 11 avril prochain à Casablanca. «Avec la version 8.0, la solution de gestion d’entrepôt BEXT s’enrichit de nouvelles fonctionnalités pour accélérer la diffusion des meilleures pratiques logistiques, de la réception au stockage en passant par la préparation des commandes», est-il expliqué. 
Figurant dans le top 5 français des éditeurs de solutions de gestion d’entrepôt, Infflux groupe est un acteur reconnu dans la Supply Chain, avec 300 sites logistiques à son actif.
«La solution de gestion d’entrepôt BEXT WS répond aujourd’hui aux besoins des professionnels d’optimiser et d’accélérer leur logistique opérationnelle, à l’heure où le Maroc ambitionne de devenir un hub logistique et une plaque tournante du commerce», souligne Mohammed Mabrouki, directeur général d’Advansys Group, qui a son compte un portefeuille de 150 clients. 
",POSITIVE,1.0,avril
2,TOTAL,"['Rubia EV Fluid', 'Total Lubrifiants', 'R&D']","Engagée dans le développement de solutions autour de la mobilité électrique, Total vient de mettre sur le marché une gamme «innovante» de fluides pour les véhicules électriques et hybrides. Il s’agit d’un «important travail des équipes R&D du groupe.Ces produits ont été spécialement développés pour répondre aux besoins de refroidissement et de lubrification des différents organes de ces nouvelles motorisations et en assurer un fonctionnement dans des conditions optimales», précise l’entreprise française dans un communiqué. Total a ainsi mis à la disposition des constructeurs deux gammes de produits : Total Quartz EV Fluid, dédié aux véhicules légers, et Total Rubia EV Fluid pour les véhicules industriels, utilitaires et bus électriques.
Commercialisés par Total Lubrifiants, ces produits viennent compléter l’offre du groupe qui compte des applications dédiées à la recharge, le stockage et la gestion de flottes. À noter que ces nouveaux fluides ont été étudiés de sorte à répondre à des priorités diélectriques, une compatibilité avec les nouveaux composants liés à l’électrification, une réponse aux contraintes thermiques ainsi que des fonctionnalités de lubrification conventionnelles de la transmission. 
",POSITIVE,1.0,avril
3,HPS,"['Bourse de Casablanca', 'Ghana Interbank Payment and Settlement Systems', 'Absa', 'GhIPSS']","Bonne performance pour HPS au premier trimestre 2020. Le groupe a affiché des revenus consolidés en hausse de 16,9% à 152,9 millions de DH. Cette performance s’est accompagnée du renforcement des revenus récurrents, qui se sont bonifiés de 18,4% à 96,3 millions de DH. «La croissance des revenus durant ce trimestre reflète le développement soutenu de l’activité Solutions dont les revenus augmentent de 15,2%, ainsi que la forte croissane de l’activité Processing avec des revenus qui progressent de 55,9%. Les revenus de l’activité Services restent stable sur un an», explique HPS dans un communiqué.
 Au terme du premier trimestre, le groupe a réduit son endettement de 2,6% pour s’établir à 62,3 millions de DH. HPS a également consenti davantage de moyens en R&D en allouant un budget de 16,3 millions de DH, contre 12,3 millions l’année écoulée, soit une hausse de 32,5%.
Face à la crise sanitaire, la société cotée à la Bourse de Casablanca, a mis en marche son Plan de Continuité d’Activité (PCA) afin de préserver la santé et la sécuritéÌ de ses collaborateurs et ses partenaires, tout en respectant les mesures prises par ses différents pays de présence. Ce plan a étéÌ enclenché dans l’ensemble des bureaux du groupe dans le monde et a permis de maintenir l’accompagnement des clients et d’assurer la continuité de leurs opérations. «Grâce à ce plan, HPS a mis en production plusieurs projets durant ce trimestre, notamment la mise en service de la plateforme de paiement par QR Code auprès de Ghana Interbank Payment and Settlement Systems (GhIPSS) et la mise en production de la plateforme d’acquisition des filiales africaines (hors Afrique du Sud) du groupe Absa». 
A noter qu’à la date de publication de ses résultats trimestriels, seule l’activité Services a été impactée par la situation liée au coronavirus, où seuls les projets pouvant être réalisés en télétravail ont été maintenus. 
",POSITIVE,1.0,avril
4,OCP,no organisation,"Le groupe OCP a enregistré un chiffre d’affaires en hausse de 4% à fin juin dernier, atteignant 27,58 milliards de DH. Il a également amélioré son résultat net part du groupe qui dépasse deux milliards de DH. Le groupe a investi pour 5,85 milliards de DH au premier semestre.",POSITIVE,1.0,avril
5,GROUPE CRÉDIT AGRICOLE DU MAROC GCAM,no organisation,"Le Groupe Crédit Agricole du Maroc (GCAM) prend part à la 6e édition de l’Africa Agri Forum. Ce dernier se tiendra à Libreville les 20 et 21 novembre prochain et réunira des acteurs publics et privés du secteur agricole ainsi que des bailleurs de fonds et investisseurs de plus de 30 pays. Objectif : échanger autour des enjeux de la sécurité alimentaire, des modèles de financement et de l’innovation agricole. 
Depuis plusieurs années, la banque verte marocaine s’engage en faveur de l’agriculture et du développement socio-économique en milieu rural. Finalité : valoriser les activités agricoles et stabiliser les populations rurales en améliorant durablement leur niveau de vie. Le groupe mène cette mission à travers deux principaux pôles d’activité : la banque mission de service public et la banque commerciale. Cette dernière a pour mission d’apporter des solutions novatrices et efficaces aux problèmes de financement du monde rural.
Rappelons que l’édition 2018 de l’Africa Agri Forum s’est tenue sur le thème : «Transformation agricole, le défi africain». Quelque 400 professionnels du secteur agricole en provenance de 30 pays y ont participé pour débattre des défis de la transformation de l’agriculture africaine avec un focus particulier sur les enjeux de l’investissement. Lancé en 2014 à Abidjan, ce forum est un rendez-vous annuel des acteurs clés du développement de l’agriculture en Afrique du Nord, de l’Ouest et centrale. 
",POSITIVE,1.0,avril
6,HEETCH MAROC,"['Careem', 'MM Networks', 'Careem Networks FZ LCC', 'VTC', 'Applications']","La guerre est déclarée. Heetch Maroc a saisi le Conseil de la concurrence pour dénoncer «un cas de concurrence déloyale», en l’occurrence Careem. L’entreprise estime que MM Networks, entité développant au Maroc les activités de Careem Networks FZ LCC siégeant à Dubaï, enfreint «plusieurs réglementations au risque de porter un préjudice important à l’activité de son concurrent et de précariser les 90.000 chauffeurs de taxi respectueux de la législation, sans pour autant ouvrir de sérieuses perspectives d’emplois ou bénéfices pour le consommateur», souligne le spécialiste du VTC, implanté au Maroc depuis 2017, dans un communiqué.
Heetch a appuyé sa saisine, déposée le 21 mars dernier, d’un argumentaire jugé «solide» et d’éléments juridiques à charge. Elle a également présenté une liste «des infractions et pratiques frauduleuses» dont elle accuse son concurrent. «Ces pratiques ont des répercussions contraires à l’intérêt des consommateurs qui sont transportés par des chauffeurs non professionnels, non réglementés, ce qui peut aller à l’encontre de leur sécurité». 
«En exerçant une activité réglementée au travers de chauffeurs qui ne s’acquittent d’aucun agrément ou autorisation», Heetch soutient que ces Applications «accaparent des parts de marché normalement réservées à des acteurs respectant la législation en la matière, notamment le règlement de charges conséquentes». 
",NEGATIVE,0.0,avril
7,BOSCH,"['Continental', 'Faurecia', 'AFP']","L'industriel allemand Bosch a annoncé en fin de semaine dernière qu’il cherchait à vendre sa division de machines d'emballage. Bosch Packaging Technology, qui emploie 6.100 personnes à travers le monde est jugée ne plus faire «partie de son cœur de métier», rapporte l’AFP. «Il n'y a pas assez de synergies entrepreneuriales et technologiquement pertinentes au sein de Bosch pour cette division et donc plus d'avenir», a tranché le premier équipementier automobile au monde dans un communiqué, plusieurs semaines après de premières fuites dans la presse allemande. 
Bosch Packaging Technology compte parmi les principaux acteurs du marché de l'emballage et du conditionnement dans l'industrie alimentaire et pharmaceutique. Le géant allemand souligne que ce marché est plutôt dominé par des PME, qui tirent de leur taille un avantage compétitif, grâce à des structures plus souples et plus réactives aux demandes de personnalisation des machines.
L'entreprise familiale et non cotée assure que son objectif est que «tous les employés sur l'ensemble des sites soient pris en charge par un acheteur». Les syndicats ont été informés vendredi, ajoute le groupe.
Bosch est le plus grand équipementier automobile et le concurrent de l'allemand Continental et du français Faurecia. Son chiffre d'affaires a progressé en 2018 de 
6,7% à 78 milliards d'euros. Le groupe est aussi le premier employeur allemand en France, où il compte 7.500 salariés. 
",NEGATIVE,0.0,avril
8,LG SIGNATURE,"['Séoul', 'LG InstaView', 'Twinwash', 'Smart ThinQ.', 'OLED', 'OLED', 'Amazon Alexa', 'MEA', 'Innofest', 'Alpha 9']","LG a mis l’accent sur l’intelligence artificielle (IA) lors de l’Innofest MEA 2019. L’événement organisé à Séoul a été l’occasion pour le géant sud-coréen de présenter ses dernières innovations. 
Au menu : une maison connectée avec une «expérience de vie futuriste» grâce à la technologie LG ThinQ. Pour la cuisine, c’est le réfrigérateur LG InstaView qui est à l’honneur. Grâce à l’IA, il permet de faire la compilation des listes de courses, assiste le cuisinier en lui proposant des recettes à l’aide de son interface à écran tactile. Les machines à laver Twinwash peuvent, pour leur part, être utilisées à distance grâce à l’application Smart ThinQ. «LG ThinQ apporte un apprentissage en profondeur des produits ménagers quotidiens. Les appareils sont activés avec la capacité d’apprendre les habitudes et les goûts d’un utilisateur au fil du temps, pour une meilleure intégration et une tranquillité d’esprit», précise le géant asiatique dans un communiqué. Lors de l’Innofest, le groupe a également présenté, en exclusivité, le premier téléviseur OLED enroulable au monde de la gamme premium LG Signature. L’écran associe la technologie OLED à des innovations techniques pour «offrir une unité unique capable de s’intégrer de manière homogène dans un large éventail d’espaces grâce à sa nature flexible». Grâce aux assistants numériques intégrés, dont Amazon Alexa, les utilisateurs peuvent contrôler leur téléviseur en utilisant leur voix. Le processeur intelligent 9 (Alpha 9) de deuxième génération et l’algorithme deep learning de LG optimisent le contenu pour une meilleure qualité d’image et de son. 
",POSITIVE,1.0,avril
9,SOCIÉTÉ GÉNÉRALE SG,"['Eqdom', 'AMMC']","Le gendarme du marché vient de viser une note d’information relative à l’émission par Société Générale (SG) d’un emprunt obligataire subordonné de 800 millions de DH. Selon un communiqué de l’Autorité marocaine du marché des capitaux (AMMC), cette opération porte sur l’émission de 8.000 obligations d’une valeur nominale de 100.000 DH. La maturité de l’emprunt est de 10 ans et le remboursement est in fine. La période des souscriptions est fixée du 19 au 21 juin inclus. 
Cette émission a pour principaux objectifs, le renforcement des fonds propres de la banque suite à l’acquisition de 34,95% du capital social d’Eqdom auprès de SG Financial Services Holding ainsi que le financement du développement de ses activités. 
Cette levée de fonds permettra en outre la diversification des sources de financement à long terme de SG et l’amélioration de ses coûts de financement avec la consolidation de son image vis-à-vis des principaux partenaires. 
À noter que les souscriptions sont toutes en numéraire quelle que soit la catégorie des souscripteurs. La limitation des souscriptions aux investisseurs qualifiés de droit marocain a pour principal objectif de faciliter la gestion des souscriptions sur le marché primaire. Ainsi, tout investisseur désirant acquérir ces obligations pourra s’en procurer sur le marché secondaire. 
Les souscripteurs peuvent formuler une ou plusieurs demandes de souscriptions en spécifiant le nombre de titres souhaité, le montant, la nature de la tranche et le taux souscrit en pourcentage. 
Ensuite, la banque est tenue de recueillir les ordres de souscription remplis et signés. En outre, tous les frais d’intermédiation relatifs à cette émission ainsi que tous les impôts et taxes demeurent à la charge des investisseurs. 
 
",POSITIVE,1.0,avril
